,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
13,Kaia Henderson,3,0,1,0.0,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,ohio-state,2023-12-15-18-ohio-state
0,Charisma Osborne,36,4,12,0.333,1,5,0.2,3,7,0.429,8,10,0.8,1,2,3,3,2,0,4,2,19,ucla,2023-12-18-18-ohio-state
1,Kiki Rice,33,6,12,0.5,6,9,0.667,0,3,0.0,3,4,0.75,0,3,3,4,1,2,2,3,15,ucla,2023-12-18-18-ohio-state
2,Lauren Betts,29,8,11,0.727,8,11,0.727,0,0,,1,2,0.5,3,8,11,0,0,5,2,3,17,ucla,2023-12-18-18-ohio-state
3,Londynn Jones,28,3,11,0.273,3,6,0.5,0,5,0.0,2,2,1.0,2,1,3,4,0,0,1,2,8,ucla,2023-12-18-18-ohio-state
4,Angela Dugalic,21,2,7,0.286,1,3,0.333,1,4,0.25,0,0,,0,6,6,2,0,0,4,2,5,ucla,2023-12-18-18-ohio-state
6,Gabriela Jaquez,21,5,6,0.833,5,5,1.0,0,1,0.0,1,2,0.5,0,4,4,2,0,0,2,1,11,ucla,2023-12-18-18-ohio-state
7,Camryn Brown,11,0,0,,0,0,,0,0,,0,0,,1,0,1,1,0,1,1,1,0,ucla,2023-12-18-18-ohio-state
8,Lina Sontag,11,0,0,,0,0,,0,0,,0,0,,0,1,1,2,1,0,0,4,0,ucla,2023-12-18-18-ohio-state
9,Christeen Iwuala,10,1,1,1.0,1,1,1.0,0,0,,0,0,,1,2,3,0,0,0,1,1,2,ucla,2023-12-18-18-ohio-state
0,Jacy Sheldon,40,12,23,0.522,9,17,0.529,3,6,0.5,3,3,1.0,1,2,3,3,1,0,1,3,30,ohio-state,2023-12-18-18-ohio-state
1,Cotie McMahon,35,2,14,0.143,0,9,0.0,2,5,0.4,1,2,0.5,1,5,6,0,1,1,2,1,7,ohio-state,2023-12-18-18-ohio-state
2,Taylor Thierry,33,6,9,0.667,4,5,0.8,2,4,0.5,6,8,0.75,3,1,4,1,4,1,1,4,20,ohio-state,2023-12-18-18-ohio-state
3,Celeste Taylor,32,1,7,0.143,1,5,0.2,0,2,0.0,2,2,1.0,1,3,4,3,2,1,5,4,4,ohio-state,2023-12-18-18-ohio-state
4,Rebeka Mikulasikova,30,3,8,0.375,1,2,0.5,2,6,0.333,0,0,,0,3,3,2,1,0,3,3,8,ohio-state,2023-12-18-18-ohio-state
6,Rikki Harris,10,1,2,0.5,1,1,1.0,0,1,0.0,0,0,,1,1,2,1,0,0,0,2,2,ohio-state,2023-12-18-18-ohio-state
7,Taiyier Parks,9,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,2,2,0,ohio-state,2023-12-18-18-ohio-state
