team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
5,28,Sat Feb 24 2024,5:00p,REG,,Minnesota,Big Ten,16.38,W,70,51,,19,9,W 3,Pinnacle Bank Arena
5,29,Sun Mar 3 2024,4:00p,REG,@,Illinois,Big Ten,19.38,L,73,74,,19,10,L 1,State Farm Center
5,30,Thu Mar 7 2024,3:00p,REG,N,,,,,,,,,,,Target Center
6,1,Mon Nov 6 2023,7:00p,REG,,Harvard,Ivy,7,W,98,75,,1,0,W 1,Xfinity Center
6,2,Sun Nov 12 2023,1:00p,REG,@,South Carolina (6),SEC,46.73,L,76,114,,1,1,L 1,Colonial Life Arena
6,3,Thu Nov 16 2023,6:30p,REG,@,Connecticut (8),Big East,38.4,L,48,80,,1,2,L 2,Harry A. Gampel Pavilion
6,4,Sun Nov 19 2023,12:00p,REG,,Syracuse,ACC,20.02,W,83,81,,2,2,W 1,Xfinity Center
6,5,Thu Nov 23 2023,11:00a,REG,N,Washington State (23),Pac-12,24.4,L,67,87,,2,3,L 1,Hard Rock Hotel Riviera Maya
6,6,Fri Nov 24 2023,1:30p,REG,N,Green Bay,Horizon,14.19,W,68,59,,3,3,W 1,Hard Rock Hotel Riviera Maya
6,7,Sat Nov 25 2023,11:00a,REG,N,Massachusetts,A-10,-11.9,W,92,63,,4,3,W 2,Hard Rock Hotel Riviera Maya
6,8,Wed Nov 29 2023,7:00p,REG,,Niagara,MAAC,-6.77,W,114,44,,5,3,W 3,Xfinity Center
6,9,Sun Dec 3 2023,1:00p,REG,,George Mason,A-10,11.58,W,86,77,,6,3,W 4,Xfinity Center
6,10,Sun Dec 10 2023,1:00p,REG,,Northwestern,Big Ten,-0.22,W,71,58,,7,3,W 5,Xfinity Center
6,11,Tue Dec 12 2023,11:00a,REG,,Towson,CAA,-3.23,W,99,51,,8,3,W 6,Xfinity Center
